Modèle,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Régression Logistique,0.5215272136474411,0.5304240934234788,0.6758026624902115,0.5943526170798898,0.5433564926410118,0.011733936960985021
KNN,0.529650690495532,0.5437821927888153,0.5787000783085356,0.5606980273141123,0.5249776098047658,0.012052312447855526
Arbre de Décision,0.5389926888708367,0.5544478527607362,0.5661707126076743,0.5602479659046881,0.5178717326685452,0.008394446211839879
Random Forest,0.5483346872461413,0.5582215949188426,0.6194205168363351,0.5872308834446919,0.5403117354528181,0.008289440759104275
KMeans,0.5231519090170593,0.5436071126164268,0.5027407987470635,0.5223759153783564,,
